GP-0230,5.14590805353542,122.960814148911,117.814906095376,6,6,0.002164502164502,BPH2923,BPH2924,BPH2923-BPH2924,3,1,VAN-176,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC1,1,VAN-176,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC1,CC1,Survived-Survived,Non persistent,NA,NA,Non persistent,NA,NA,Non persistent-Non persistent,5,232,6,2.82E-05,significant,0.015151515151515
GP-0240,105.660155968851,-0.90530194721968,-106.565457916071,6,6,0.002164502164502,BPH2925,BPH2926,BPH2925-BPH2926,1,1,VAN-176,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC1,1,VAN-176,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC1,CC1,Survived-Survived,Non persistent,NA,NA,Non persistent,NA,NA,Non persistent-Non persistent,4,65,2,1.07E-05,significant,0.015151515151515
GP-0603,129.443420948567,13.612014003532,-115.831406945035,5,6,0.004329004329004,BPH3336,BPH3733,BPH3336-BPH3733,3,5,VSS-137,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,CC5,5,VSS-137,1,Survived,0,TRUE,0,2,TRUE,0.5,Persistent,14,paired-invasive,hypothetical protein / ywlC,CC5,CC5,Survived-Survived,Non persistent,15,1,Persistent,NA,NA,Non persistent-Persistent,14,449,16,7.59E-05,significant,0.015151515151515
GP-0552,67.969954207749,153.199455353966,85.2295011462166,5,5,0.015873015873016,BPH3274,BPH3282,BPH3274-BPH3282,3,5,VSS-075,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC5,5,VSS-083,1,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC5,CC5,Survived-Died,Non persistent,1,0,Non persistent,8,0,Non persistent-Non persistent,5,252,22,0.0001038109,not significant,0.015151515151515
GP-2344,125.021442599414,95.667922843184,-29.3535197562296,6,5,0.004329004329004,BPH3746,BPH3434,BPH3434-BPH3746,1,20,VSS-227,0,NA,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,NA,20,VSS-238,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non persistent,NA,NA,Non persistent,1,1,Non persistent-Non persistent,11,222,13,6.05E-05,significant,0.015151515151515
GP-0266,106.864480459663,66.2954087606575,-40.5690716990059,6,6,0.002164502164502,BPH2963,BPH2964,BPH2963-BPH2964,9,20,VAN-207,0,Survived,0,TRUE,0,5,FALSE,0,Persistent,3,paired-invasive,ggt_1 / SigmaW regulon antibacterial / hutG / entB,NA,20,VAN-207,0,Survived,0,TRUE,0,0,FALSE,0,Persistent,7,paired-invasive,NA,NA,NA,Survived-Survived,Non persistent,NA,NA,Persistent,NA,NA,Non persistent-Persistent,5,213,12,5.60E-05,significant,0.015151515151515
GP-2362,32.1257368075056,145.580974368003,113.455237560497,6,6,0.008658008658009,BPH3751,BPH3750,BPH3750-BPH3751,1,22,VSS-275,1,Survived,0,FALSE,1,NA,FALSE,-0.75,Unknown,8,paired-invasive,NA,CC22,22,VSS-257,1,Died,0,FALSE,1,NA,FALSE,-1,Unknown,12,paired-invasive,NA,CC22,CC22,Survived-Died,Non persistent,NA,NA,Non persistent,NA,NA,Non persistent-Non persistent,17,405,32,0.0001733054,significant,0.015151515151515
GP-0952,51.650244365241,5.42011432749339,-46.2301300377476,6,5,0.017316017316017,BPH3568,BPH3590,BPH3568-BPH3590,28,22,VSS-375,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC22,22,VSS-399,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC22,CC22,Survived-Survived,Non persistent,1,0,Non persistent,1,0,Non persistent-Non persistent,41,343,56,0.0002756591,not significant,0.015151515151515
,,,,,,,BPH2858,BPH2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BPH2761,BPH2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP-0029,123.936797441521,13.9678652736586,-109.968932167862,9,9,4.11E-05,BPH2728,BPH2729,BPH2728-BPH2729,26,45,VAN-024,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,CC45,45,VAN-024,1,Survived,0,TRUE,0,5,TRUE,1.25,Relapse (after treatment),38,paired-invasive,ptsG_3 / rpoB / rplV / rplD,CC45,CC45,Survived-Survived,Non persistent,3,0,Persistent,NA,NA,Non persistent-Persistent,15,730,73,0.0004005718,significant,0.015151515151515
GP-0219,6.96229680391878,96.1677223204682,89.2054255165494,6,4,0.00952380952381,BPH2902,BPH2904,BPH2902-BPH2904,12,45,VAN-160,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,CC45,45,VAN-160,1,Survived,0,TRUE,0,3,FALSE,0,NA,1,paired-colonising,clfA / agrA / Nitroreductase family protein,CC45,CC45,Survived-Survived,Non persistent,5,0,NA,NA,NA,NA,201,316,49,0.0002475728,significant,0.015151515151515
GP-0043,3.67600291755317,156.527875633585,152.851872716031,6,7,0.001165501165501,BPH2763,BPH2764,BPH2763-BPH2764,14,78,VAN-050,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,NA,78,VAN-050,1,Survived,0,TRUE,0,29,FALSE,0,NA,-3,paired-colonising,hypothetical protein / superantigen-like protein / accB_1 / grsB / Transcriptional regulator / cydD / pepT_2 / yveA / pbuE / Putative esterase / Replication initiation and membrane attachment,NA,NA,Survived-Survived,Non persistent,1,0,NA,NA,NA,NA,30,127,27,0.0001263346,significant,0.015151515151515
,,,,,,,BPH2860,BPH2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP-0001,71.8528896833072,108.265269530903,36.4123798475958,6,6,0.015151515151515,BPH2704,BPH2705,BPH2704-BPH2705,21,93,VAN-004,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,NA,93,VAN-004,1,Survived,0,TRUE,0,0,FALSE,0,Persistent,10,paired-invasive,NA,NA,NA,Survived-Survived,Non persistent,11,0,Persistent,NA,NA,Non persistent-Persistent,0,196,68,0.0003538023,not significant,0.015151515151515
GP-0618,7.39747438910163,67.999159557174,60.6016851680724,6,6,0.002164502164502,BPH3362,BPH3366,BPH3362-BPH3366,8,239,VSS-163,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC8,239,VSS-167,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC8,CC8,Survived-Survived,Non persistent,1,0,Non persistent,1,0,Non persistent-Non persistent,23,7,14,6.46E-05,significant,0.015151515151515
GP-0654,62.7325177250156,-3.7613702478414,-66.493887972857,6,6,0.002164502164502,BPH3382,BPH2710,BPH2710-BPH3382,9,239,VSS-185,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC8,239,VAN-008,1,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC8,CC8,Survived-Died,Non persistent,1,0,Non persistent,1,0,Non persistent-Non persistent,38,39,15,7.24E-05,significant,0.015151515151515
GP-0750,28.296165797183,85.3226501276078,57.0264843304248,4,6,0.00952380952381,BPH3433,BPH3744,BPH3433-BPH3744,11,239,VSS-237,1,NA,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA,CC8,239,VSS-205,1,Survived,0,TRUE,0,8,FALSE,0,Relapse (after treatment),478,paired-invasive,Nucleoid-associated protein / phage phi3 protein / lss / rpmD / fhuD_1 / bceB_2 / lpl2_3,CC8,CC8,NA,Non persistent,10,0,Persistent,NA,NA,Non persistent-Persistent,24,14,15,7.15E-05,significant,0.015151515151515
GP-2354,1.99082607366693,94.4541812513667,92.4633551776998,6,5,0.004329004329004,BPH3748,BPH3742,BPH3742-BPH3748,9,239,VSS-237,1,Died,0,TRUE,0,0,FALSE,1,Persistent,9,paired-invasive,NA,CC8,239,VSS-205,1,Survived,0,TRUE,0,4,FALSE,0,Relapse (after treatment),47,paired-invasive,phage phi3 protein / blaI / bceB_2,CC8,CC8,Died-Survived,Persistent,NA,NA,Non persistent,NA,NA,Persistent-Non persistent,36,14,13,6.09E-05,significant,0.015151515151515
GP-2265,-0.91186376512059,54.8670930746085,55.778956839729,6,5,0.004329004329004,BPH3739,BPH3523,BPH3523-BPH3739,17,239,VSS-193,1,Survived,1,FALSE,NA,NA,FALSE,0,NA,NA,index,NA,CC8,239,VSS-327,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC8,CC8,Survived-Survived,Non persistent,NA,NA,Non persistent,1,0,Non persistent-Non persistent,52,9,27,0.0001254976,significant,0.015151515151515
