well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
A01,18588,0,A,01,exp210327,Hela,40000,GPV1,exp210327_GPV1_A01,NE46,NEBRASKA
A02,16851,0,A,02,exp210327,Hela,40000,GPV1,exp210327_GPV1_A02,NE1561,NEBRASKA
A03,16670,0,A,03,exp210327,Hela,40000,GPV1,exp210327_GPV1_A03,JE2,CONTROL
A04,16870,0,A,04,exp210327,Hela,40000,GPV1,exp210327_GPV1_A04,NE1553,NEBRASKA
A05,16980,0,A,05,exp210327,Hela,40000,GPV1,exp210327_GPV1_A05,NE743,NEBRASKA
A06,17305,0,A,06,exp210327,Hela,40000,GPV1,exp210327_GPV1_A06,NE172,NEBRASKA
A07,17270,0,A,07,exp210327,Hela,40000,GPV1,exp210327_GPV1_A07,NE1166,NEBRASKA
A08,17306,0,A,08,exp210327,Hela,40000,GPV1,exp210327_GPV1_A08,NE704,NEBRASKA
A09,16234,0,A,09,exp210327,Hela,40000,GPV1,exp210327_GPV1_A09,NE362,NEBRASKA
A10,17097,0,A,10,exp210327,Hela,40000,GPV1,exp210327_GPV1_A10,NE188,NEBRASKA
A11,17316,0,A,11,exp210327,Hela,40000,GPV1,exp210327_GPV1_A11,NE1183,NEBRASKA
A12,16719,0,A,12,exp210327,Hela,40000,GPV1,exp210327_GPV1_A12,NE1919,NEBRASKA
B01,18658,0,B,01,exp210327,Hela,40000,GPV1,exp210327_GPV1_B01,NE573,NEBRASKA
B02,16615,0,B,02,exp210327,Hela,40000,GPV1,exp210327_GPV1_B02,NE1020,NEBRASKA
B03,16966,0,B,03,exp210327,Hela,40000,GPV1,exp210327_GPV1_B03,NE573,NEBRASKA
B04,17081,0,B,04,exp210327,Hela,40000,GPV1,exp210327_GPV1_B04,NE1561,NEBRASKA
B05,17096,0,B,05,exp210327,Hela,40000,GPV1,exp210327_GPV1_B05,NE581,NEBRASKA
B06,17386,0,B,06,exp210327,Hela,40000,GPV1,exp210327_GPV1_B06,NE873,NEBRASKA
B07,17758,0,B,07,exp210327,Hela,40000,GPV1,exp210327_GPV1_B07,NE172,NEBRASKA
B08,17451,0,B,08,exp210327,Hela,40000,GPV1,exp210327_GPV1_B08,NE1532,NEBRASKA
B09,16452,0,B,09,exp210327,Hela,40000,GPV1,exp210327_GPV1_B09,NE1553,NEBRASKA
B10,16693,0,B,10,exp210327,Hela,40000,GPV1,exp210327_GPV1_B10,NE472,NEBRASKA
B11,17351,0,B,11,exp210327,Hela,40000,GPV1,exp210327_GPV1_B11,NE1671,NEBRASKA
B12,16844,0,B,12,exp210327,Hela,40000,GPV1,exp210327_GPV1_B12,NE1561,NEBRASKA
C01,18121,0,C,01,exp210327,Hela,40000,GPV1,exp210327_GPV1_C01,NE1183,NEBRASKA
C02,16390,0,C,02,exp210327,Hela,40000,GPV1,exp210327_GPV1_C02,NE1462,NEBRASKA
C03,17502,0,C,03,exp210327,Hela,40000,GPV1,exp210327_GPV1_C03,NE46,NEBRASKA
C04,17887,0,C,04,exp210327,Hela,40000,GPV1,exp210327_GPV1_C04,NE573,NEBRASKA
C05,16763,0,C,05,exp210327,Hela,40000,GPV1,exp210327_GPV1_C05,NE1671,NEBRASKA
C06,17886,0,C,06,exp210327,Hela,40000,GPV1,exp210327_GPV1_C06,NE440,NEBRASKA
C07,17057,0,C,07,exp210327,Hela,40000,GPV1,exp210327_GPV1_C07,NE1380,NEBRASKA
C08,16770,0,C,08,exp210327,Hela,40000,GPV1,exp210327_GPV1_C08,NE214,NEBRASKA
C09,16909,0,C,09,exp210327,Hela,40000,GPV1,exp210327_GPV1_C09,NE214,NEBRASKA
C10,17213,0,C,10,exp210327,Hela,40000,GPV1,exp210327_GPV1_C10,NE1,NEBRASKA
C11,17453,0,C,11,exp210327,Hela,40000,GPV1,exp210327_GPV1_C11,NE362,NEBRASKA
C12,17956,0,C,12,exp210327,Hela,40000,GPV1,exp210327_GPV1_C12,Non infected,CONTROL
D01,18288,0,D,01,exp210327,Hela,40000,GPV1,exp210327_GPV1_D01,NE704,NEBRASKA
