well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
A01,16189,0,A,01,exp210326,Hela,40000,GPV1,exp210326_GPV1_A01,NE46,NEBRASKA
A02,15733,0,A,02,exp210326,Hela,40000,GPV1,exp210326_GPV1_A02,NE1561,NEBRASKA
A03,15058,0,A,03,exp210326,Hela,40000,GPV1,exp210326_GPV1_A03,JE2,CONTROL
A04,15813,0,A,04,exp210326,Hela,40000,GPV1,exp210326_GPV1_A04,NE1553,NEBRASKA
A05,15299,0,A,05,exp210326,Hela,40000,GPV1,exp210326_GPV1_A05,NE743,NEBRASKA
A06,16061,0,A,06,exp210326,Hela,40000,GPV1,exp210326_GPV1_A06,NE172,NEBRASKA
A07,15339,0,A,07,exp210326,Hela,40000,GPV1,exp210326_GPV1_A07,NE1166,NEBRASKA
A08,15064,0,A,08,exp210326,Hela,40000,GPV1,exp210326_GPV1_A08,NE704,NEBRASKA
A09,15472,0,A,09,exp210326,Hela,40000,GPV1,exp210326_GPV1_A09,NE362,NEBRASKA
A10,14658,0,A,10,exp210326,Hela,40000,GPV1,exp210326_GPV1_A10,NE188,NEBRASKA
A11,15771,0,A,11,exp210326,Hela,40000,GPV1,exp210326_GPV1_A11,NE1183,NEBRASKA
A12,15274,0,A,12,exp210326,Hela,40000,GPV1,exp210326_GPV1_A12,NE1919,NEBRASKA
B01,16151,0,B,01,exp210326,Hela,40000,GPV1,exp210326_GPV1_B01,NE573,NEBRASKA
B02,15137,0,B,02,exp210326,Hela,40000,GPV1,exp210326_GPV1_B02,NE1020,NEBRASKA
B03,14572,0,B,03,exp210326,Hela,40000,GPV1,exp210326_GPV1_B03,NE573,NEBRASKA
B04,15409,0,B,04,exp210326,Hela,40000,GPV1,exp210326_GPV1_B04,NE1561,NEBRASKA
B05,15240,0,B,05,exp210326,Hela,40000,GPV1,exp210326_GPV1_B05,NE581,NEBRASKA
B06,14357,0,B,06,exp210326,Hela,40000,GPV1,exp210326_GPV1_B06,NE873,NEBRASKA
B07,14177,0,B,07,exp210326,Hela,40000,GPV1,exp210326_GPV1_B07,NE172,NEBRASKA
B08,13892,0,B,08,exp210326,Hela,40000,GPV1,exp210326_GPV1_B08,NE1532,NEBRASKA
B09,14368,0,B,09,exp210326,Hela,40000,GPV1,exp210326_GPV1_B09,NE1553,NEBRASKA
B10,14150,0,B,10,exp210326,Hela,40000,GPV1,exp210326_GPV1_B10,NE472,NEBRASKA
B11,14775,0,B,11,exp210326,Hela,40000,GPV1,exp210326_GPV1_B11,NE1671,NEBRASKA
B12,14638,0,B,12,exp210326,Hela,40000,GPV1,exp210326_GPV1_B12,NE1561,NEBRASKA
C01,16053,0,C,01,exp210326,Hela,40000,GPV1,exp210326_GPV1_C01,NE1183,NEBRASKA
C02,14929,0,C,02,exp210326,Hela,40000,GPV1,exp210326_GPV1_C02,NE1462,NEBRASKA
C03,14665,0,C,03,exp210326,Hela,40000,GPV1,exp210326_GPV1_C03,NE46,NEBRASKA
C04,15261,0,C,04,exp210326,Hela,40000,GPV1,exp210326_GPV1_C04,NE573,NEBRASKA
C05,14399,0,C,05,exp210326,Hela,40000,GPV1,exp210326_GPV1_C05,NE1671,NEBRASKA
C06,14564,0,C,06,exp210326,Hela,40000,GPV1,exp210326_GPV1_C06,NE440,NEBRASKA
C07,14141,0,C,07,exp210326,Hela,40000,GPV1,exp210326_GPV1_C07,NE1380,NEBRASKA
C08,14244,0,C,08,exp210326,Hela,40000,GPV1,exp210326_GPV1_C08,NE214,NEBRASKA
C09,14207,0,C,09,exp210326,Hela,40000,GPV1,exp210326_GPV1_C09,NE214,NEBRASKA
C10,14671,0,C,10,exp210326,Hela,40000,GPV1,exp210326_GPV1_C10,NE1,NEBRASKA
C11,14467,0,C,11,exp210326,Hela,40000,GPV1,exp210326_GPV1_C11,NE362,NEBRASKA
C12,14096,0,C,12,exp210326,Hela,40000,GPV1,exp210326_GPV1_C12,Non infected,CONTROL
D01,16159,0,D,01,exp210326,Hela,40000,GPV1,exp210326_GPV1_D01,NE704,NEBRASKA
D02,14985,0,D,02,exp210326,Hela,40000,GPV1,exp210326_GPV1_D02,NE472,NEBRASKA
D03,14619,0,D,03,exp210326,Hela,40000,GPV1,exp210326_GPV1_D03,NE362,NEBRASKA
D04,15592,0,D,04,exp210326,Hela,40000,GPV1,exp210326_GPV1_D04,NE119,NEBRASKA
D05,14728,0,D,05,exp210326,Hela,40000,GPV1,exp210326_GPV1_D05,NE1532,NEBRASKA
D06,14009,0,D,06,exp210326,Hela,40000,GPV1,exp210326_GPV1_D06,NE873,NEBRASKA
D07,14308,0,D,07,exp210326,Hela,40000,GPV1,exp210326_GPV1_D07,JE2,CONTROL
D08,14341,0,D,08,exp210326,Hela,40000,GPV1,exp210326_GPV1_D08,NE172,NEBRASKA
D09,14585,0,D,09,exp210326,Hela,40000,GPV1,exp210326_GPV1_D09,NE117,NEBRASKA
D10,14563,0,D,10,exp210326,Hela,40000,GPV1,exp210326_GPV1_D10,NE119,NEBRASKA
