Ontology	Post.prob	mnBF	nsub.0	nsub.1	tlen.0	tlen.1	ELAMBA.0	ELAMBA.1	SDLAMBDA.0	SDLAMBDA.1	glm.pval
SAUSA300_0001	2.05530077845061e-12	0.946460269022544	340	0	2366.013	1.362	0.143613641775614	0.152902109429508	0.0069197901818184	0.115440330419484	0.531600756211144
SAUSA300_0002	2.06072799421036e-12	0.94895948672434	340	0	2366.241	1.134	0.143612271123356	0.157629795261369	0.00692260514632079	0.127628240060356	0.568145127732663
SAUSA300_0003	2.11779836107782e-12	0.975240231297071	340	0	2367.129	0.246	0.143612582440295	0.205236156674833	0.00694875339716298	0.294040217600103	0.790384626279838
SAUSA300_0004	2.0613453173502e-12	0.949243762306356	340	0	2366.262	1.113	0.143612163882591	0.158122283886978	0.00692291553967942	0.128945367132929	0.571751139866023
SAUSA300_0005	2.06003223348771e-12	0.948639090854482	339	1	2365.44	1.935	0.143548206967237	0.230144353624184	0.00693981232175077	0.172420620372888	0.290282734760278
SAUSA300_0006	2.05482267000431e-12	0.946240101418147	340	0	2364.711	2.664	0.14362678682695	0.136695680064092	0.00691718252333839	0.0806248084605264	0.381575102392726
SAUSA300_0007	2.07198554891439e-12	0.95414355922868	340	0	2366.544	0.831	0.143611095768428	0.166088295679877	0.00692809532677998	0.151440123330758	0.625125336363855
SAUSA300_0008	2.05281039498114e-12	0.945313454389282	340	0	2365.86	1.515	0.143614751549049	0.150230959148683	0.00691840569274498	0.108932259654453	0.509403821403209
SAUSA300_0009	2.21162885844136e-12	1.0184489133101	339	1	2366.088	1.287	0.14354300676266	0.283305536799419	0.00700071262831269	0.248770463315611	0.186104783739226
SAUSA300_0010	2.07897126340774e-12	0.957360461245172	340	0	2366.679	0.696	0.1436108798917	0.171182282987271	0.00693138021306651	0.166966007161312	0.654773461295976
SAUSA300_0011	2.10783071108213e-12	0.970650156308846	340	0	2367.045	0.33	0.143611835417702	0.194908284624678	0.0069444039964993	0.250999272684014	0.758181710347389
SAUSA300_0012	2.06619379624611e-12	0.951476473298481	340	0	2366.406	0.969	0.143611526430002	0.161835402411581	0.00692530975387244	0.139154963572388	0.597763623641603
SAUSA300_0013	2.06735018807554e-12	0.952008988506695	340	0	2366.436	0.939	0.143611416733593	0.162694106527683	0.0069258714572694	0.141585156977148	0.603491649530781
SAUSA300_0014	2.04977198152009e-12	0.94391427347528	340	0	2365.407	1.968	0.143618785323729	0.143859553689151	0.00691622347885948	0.0945902334546409	0.452048340145036
SAUSA300_0015	2.09653029833649e-12	0.965446347796028	340	0	2366.928	0.447	0.143611205958358	0.184814612000856	0.0069393894745015	0.212837791961232	0.720097129774704
SAUSA300_0016	2.05458513474776e-12	0.946130717095826	340	0	2365.974	1.401	0.143613911126153	0.152188655390486	0.00691940171030985	0.113674635366551	0.525786960896381
SAUSA300_0017	2.05690956701965e-12	0.947201111666025	340	0	2366.091	1.284	0.143613132428154	0.154404997230731	0.00692064496376882	0.119223814104495	0.543603186083634
SAUSA300_0018	2.14690035079517e-12	0.988641616294226	340	0	2367.3	0.075	0.143615560584117	0.251737362323913	0.00696111702390586	0.550006014739877	0.883337129849476
SAUSA300_0019	2.14736707135257e-12	0.988856539807587	340	0	2367.302	0.073	0.143615617050722	0.252868481298105	0.00696131161795494	0.557773247391961	0.88489218537814
SAUSA300_0020	2.07862894121626e-12	0.957202822831931	340	0	2366.673	0.702	0.143610884551345	0.170930915751906	0.00693122080819019	0.166179325992686	0.653385346811201
SAUSA300_0021	2.08007583320711e-12	0.957869112553252	339	1	2365.548	1.827	0.143547344133279	0.236380510537047	0.00694841254310343	0.181446987050807	0.272878696234306
SAUSA300_0022	2.05690956701965e-12	0.947201111666025	340	0	2366.091	1.284	0.143613132428154	0.154404997230731	0.00692064496376882	0.119223814104495	0.543603186083634
SAUSA300_0023	2.07400582952409e-12	0.955073892807789	340	0	2366.586	0.789	0.1436110048633	0.167557499240915	0.00692905267573529	0.155828007474145	0.63401548654884
SAUSA300_0024	2.07341529165003e-12	0.954801951765865	340	0	2366.574	0.801	0.14361102876729	0.167128116638515	0.00692877350857396	0.154538045319769	0.631442626804486
SAUSA300_0025	2.0510442596888e-12	0.944500154019117	340	0	2365.056	2.319	0.143622573469649	0.139961567968914	0.00691614298610321	0.0866941970394089	0.414302143398084
SAUSA300_0026	2.0937614946865e-12	0.964171321447128	340	0	2366.895	0.48	0.143611094124253	0.18253329375705	0.006938145698211	0.20471743319408	0.710397950215789
SAUSA300_0027	2.05752410034813e-12	0.947484102547697	340	0	2366.118	1.257	0.143612965578469	0.154950885868622	0.00692096607313726	0.120619307153424	0.547872124392813
SAUSA300_0028	2.08019489499197e-12	0.957923940172698	340	0	2366.7	0.675	0.143610867529806	0.172083421843614	0.00693194882053181	0.169803703628866	0.659689122956477
SAUSA300_0029	2.12909228733101e-12	0.980441052798228	340	0	2367.207	0.168	0.143613607740561	0.219400399618882	0.00695360738139966	0.360351104724965	0.826144123171354
SAUSA300_0030	2.07631971998564e-12	0.956139432903764	340	0	2366.631	0.744	0.14361093064219	0.169242005251557	0.00693014153267452	0.160948899228143	0.643862859335917
SAUSA300_0031	2.09811072923502e-12	0.966174131811427	340	0	2366.946	0.429	0.143611277926085	0.186146380214538	0.0069400966123566	0.217662607457662	0.72555870878111
SAUSA300_0032	2.04977156922173e-12	0.943914083613034	340	0	2365.368	2.007	0.143619179395196	0.143390427122711	0.00691615156068858	0.0936034221370648	0.447599941548476
SAUSA300_0033	2.06552546120968e-12	0.951168706880541	340	0	2366.388	0.987	0.143611596258494	0.161335623898733	0.00692498366639161	0.137752398616048	0.594380980806511
SAUSA300_0034	2.05285129255642e-12	0.945332287608494	340	0	2365.863	1.512	0.143614728452684	0.150280227156352	0.00691842934480751	0.109049737698066	0.509823516652035
