DRR170691_00232	SAUSA300_1159	99.745	392	1	0	1	392	1	392	0.0	777	392
DRR170691_00234	SAUSA300_1157	99.930	1437	1	0	3	1439	1	1437	0.0	2973	1439
DRR170691_00234	SAUSA300_1346	33.728	169	112	0	420	588	4	172	3.92e-20	93.2	1439
DRR170691_00234	SAUSA300_1649	22.909	550	281	20	815	1292	239	717	2.39e-17	84.3	1439
DRR170691_00234	SAUSA300_1875	24.855	173	126	3	416	588	1	169	1.75e-13	67.0	1439
DRR170691_00471	SAUSA300_1556	99.455	367	2	0	1	367	1	367	0.0	740	367
DRR170691_00484	SAUSA300_1567	100.000	159	0	0	1	159	1	159	1.48e-114	318	159
DRR170691_00598	SAUSA300_2312	99.391	493	3	0	1	493	20	512	0.0	1015	493
DRR170691_00598	SAUSA300_2541	51.215	494	237	4	1	491	1	493	0.0	526	493
DRR170691_00627	SAUSA300_2282	100.000	420	0	0	1	420	1	420	0.0	851	420
DRR170691_01476	SAUSA300_0021	100.000	609	0	0	1	609	1	609	0.0	1236	609
DRR170691_01476	SAUSA300_1441	32.282	412	261	7	190	597	188	585	1.13e-65	222	609
DRR170691_01476	SAUSA300_1638	31.849	449	291	9	157	596	106	548	2.51e-58	201	609
DRR170691_01476	SAUSA300_1307	35.484	217	138	1	375	591	232	446	5.89e-33	128	609
DRR170691_01476	SAUSA300_0690	28.139	231	153	6	373	596	120	344	1.05e-24	102	609
DRR170691_01476	SAUSA300_2309	29.515	227	152	3	371	597	235	453	2.63e-18	84.0	609
DRR170691_01476	SAUSA300_2558	26.820	261	152	9	359	599	54	295	2.39e-14	70.5	609
DRR170691_01476	SAUSA300_2035	24.569	232	160	8	371	593	647	872	3.81e-11	62.4	609
DRR170691_01476	SAUSA300_0646	22.314	242	168	11	366	602	110	336	2.49e-06	45.8	609
DRR170691_01604	SAUSA300_1306	99.893	933	1	0	1	933	1	933	0.0	1932	933
DRR170691_01748	SAUSA300_2071	99.203	251	2	0	29	279	1	251	0.0	515	279
DRR170691_01797	SAUSA300_1276	99.696	329	1	0	1	329	1	329	0.0	646	329
DRR170691_01797	SAUSA300_0895	30.218	321	203	3	3	305	1	318	1.06e-48	162	329
DRR170691_01797	SAUSA300_2410	31.373	306	204	4	5	305	3	307	1.17e-43	149	329
DRR170691_01797	SAUSA300_0887	27.974	311	213	3	5	310	3	307	5.21e-43	147	329
DRR170691_01797	SAUSA300_0201	29.932	294	194	3	26	312	204	492	2.38e-35	130	329
DRR170691_01797	SAUSA300_0074	30.422	332	193	9	7	315	1	317	3.93e-32	118	329
DRR170691_01819	SAUSA300_1255	99.881	841	1	0	1	841	1	841	0.0	1700	841
DRR170691_01853	SAUSA300_0454	99.497	199	1	0	1	199	1	199	1.23e-147	404	199
DRR170691_01997	SAUSA300_1611	100.000	877	0	0	1	877	1	877	0.0	1808	877
DRR170691_01997	SAUSA300_1087	24.390	861	537	19	18	790	29	863	2.79e-70	246	877
DRR170691_01997	SAUSA300_1704	21.692	922	469	31	7	796	4	804	1.07e-35	141	877
DRR170691_01997	SAUSA300_0467	23.706	367	234	11	342	695	153	486	1.51e-15	77.0	877
