User: USER,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,,,,,
Test ID: 61,,,,,
Test Name: LD PI Assay SE,,,,,
Date: 9/10/2019,,,,,
Time: 2:45:22 PM,,,,,
ID1: Vananz plate 2 190910,,,,,
ID2: HeLa death assay n3,,,,,
"Fluorescence (FI), multichromatic",,,,,


 Basic settings ,,,,,

Measurement type:,"Fluorescence (FI), multichromatic",,,,
Microplate name:,COSTAR 96,,,,
,,,,,

 Kinetic (plate mode) settings ,,,,,

No. of cycles:,211,,,,
Cycle time [s]:,360,,,,
No. of flashes per well and cycle:,50,,,,
,,,,,

Scan mode:,spiral scan,,,,
Scan diameter [mm]:,5,,,,
,,,,,
Well multichromatics used,,,,,

 Optic settings ,,,,,

No.,Presetname,Excitation,Dichroic filter,Emission,Gain
1,Propidium Iodide,535-15,auto 574.8,617-20,2540
2,Propidium Iodide solution,493-15,auto 564.5,636-15,1492
,,,,,

 Optic settings ,,,,,

Gain obtained by:,gain adjustment performed,,,,
Well(s) used for gain adjustment:,H10,,,,
Focal height obtained by:,previous focal height (focus adjustment performed),,,,
Focal height [mm]:,5.4,,,,
Well used for focus adjustment:,H10,,,,
,,,,,

 General settings ,,,,,
Bottom optic used,,,,,
Extended IR PMT used,,,,,

Spoon type:,-,,,,
Injection needle holder type:,-,,,,
Settling time [s]:,0,,,,
Reading direction:,"bidirectional, horizontal left to right, top to bottom",,,,
Target temperature [°C]:,37,,,,
Target concentration O2 [%]:,set off,,,,
Target concentration CO2 [%]:,,,,,
,,,,,
