User: USER,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,,,
Test ID: 54,,,
Test Name: LD PI Assay 1 read endpoint,,,
Date: 8/31/2019,,,
Time: 2:44:26 PM,,,
ID1: 190830 plate 2 vananz endpoint,,,
ID2: HeLa,,,
ID3: 1st,,,
"Fluorescence (FI), multichromatic",,,


Well,Content, Raw Data (493-15/636-15 2), Raw Data (535-15/617-20 1)
A01,Sample X1,42806,31890
A02,Sample X2,41946,31312
A03,Sample X3,44661,34600
A04,Sample X4,38306,24254
A05,Sample X5,39001,23219
A06,Sample X6,38294,23618
A07,Sample X7,43864,36180
A08,Sample X8,43664,36474
A09,Sample X9,43334,33962
A10,Sample X10,44293,37416
A11,Sample X11,38205,24113
A12,Sample X12,42085,31845
B01,Sample X13,40358,30059
B02,Sample X14,41651,32851
B03,Sample X15,38896,26757
B04,Sample X16,39658,28099
B05,Sample X17,45146,44315
B06,Sample X18,36864,21557
B07,Sample X19,36613,22083
B08,Sample X20,36839,22568
B09,Sample X21,37522,21335
B10,Sample X22,39951,29842
B11,Sample X23,40126,31293
B12,Sample X24,42226,33071
C01,Sample X25,36828,23159
C02,Sample X26,36510,23111
C03,Sample X27,38561,27460
C04,Sample X28,37511,25149
C05,Sample X29,38656,28215
C06,Sample X30,40416,32205
C07,Sample X31,37670,25370
C08,Sample X32,40179,32497
C09,Sample X33,40842,35666
C10,Sample X34,36607,23481
C11,Sample X35,39559,30836
C12,Sample X36,42475,31036
D01,Sample X37,41881,32929
D02,Sample X38,37720,24955
D03,Sample X39,37573,26954
D04,Sample X40,37569,26337
D05,Sample X41,36275,21109
D06,Sample X42,35275,21317
D07,Sample X43,39917,31512
D08,Sample X44,35870,21958
D09,Sample X45,40986,34650
D10,Sample X46,38870,28088
D11,Sample X47,38225,25973
D12,Sample X48,41672,30814
E01,Sample X49,40300,29284
E02,Sample X50,40017,32534
E03,Sample X51,36784,26808
E04,Sample X52,38027,26624
E05,Sample X53,35926,21015
E06,Sample X54,39964,32145
E07,Sample X55,35575,21199
E08,Sample X56,36803,23569
E09,Sample X57,41236,33971
E10,Sample X58,36618,22215
E11,Sample X59,41431,33923
E12,Sample X60,42831,33856
F01,Sample X61,45831,44485
F02,Sample X62,38309,28021
F03,Sample X63,39177,29734
F04,Sample X64,37493,26075
F05,Sample X65,39313,29480
F06,Sample X66,39244,29682
F07,Sample X67,38611,29133
F08,Sample X68,36714,23625
F09,Sample X69,40390,33111
F10,Sample X70,39612,30277
F11,Sample X71,39201,28228
F12,Sample X72,45017,37367
G01,Sample X73,42510,35718
G02,Sample X74,44387,44289
G03,Sample X75,40148,31377
G04,Sample X76,36100,21216
G05,Sample X77,38627,27823
G06,Sample X78,39271,29877
G07,Sample X79,36043,21125
G08,Sample X80,36630,23195
G09,Sample X81,39053,29476
G10,Sample X82,38389,24921
G11,Sample X83,41542,32475
G12,Sample X84,43713,35652
H01,Sample X85,37311,22377
H02,Sample X86,37047,22298
H03,Sample X87,40652,31375
H04,Sample X88,41021,32303
H05,Sample X89,38451,24489
H06,Sample X90,35610,20411
H07,Sample X91,36653,23016
H08,Sample X92,37802,26568
H09,Sample X93,36517,22332
H10,Sample X94,51214,54077
H11,Sample X95,50238,52586
H12,Sample X96,63025,43912
