SA1702|MUT-0001|	SAUSA300_1867	100.000	233	0	0	1	233	1	233	4.12e-172	469
SA1702|MUT-0001|	SAUSA300_2504	37.500	24	15	0	82	105	157	180	0.58	27.3
SA1702|MUT-0001|	SAUSA300_1351	29.167	48	29	1	35	82	127	169	0.60	26.9
SA1702|MUT-0001|	SAUSA300_2382	25.316	79	51	2	123	193	132	210	1.9	25.4
SA1702|MUT-0001|	SAUSA300_2363	33.333	48	30	1	6	53	156	201	2.0	25.4
SA1702|MUT-0001|	SAUSA300_2298	28.571	56	36	1	63	114	339	394	6.4	24.3
SA1843|MUT-0003|	SAUSA300_1991	73.352	364	97	0	8	371	51	414	0.0	523
SA1843|MUT-0003|	SAUSA300_1729	24.138	145	79	5	126	257	7	133	0.096	30.4
SA1843|MUT-0003|	SAUSA300_1422	42.308	26	15	0	248	273	7	32	0.50	26.2
SA1843|MUT-0003|	SAUSA300_0690	27.711	83	53	2	270	345	239	321	0.75	27.7
SA1843|MUT-0003|	SAUSA300_1638	28.000	125	79	5	244	360	420	541	3.7	25.8
SA1843|MUT-0003|	SAUSA300_1619	28.986	69	47	1	228	294	297	365	4.3	25.4
SA1843|MUT-0003|	SAUSA300_0312	29.091	55	35	1	253	303	204	258	4.6	25.4
SA1843|MUT-0003|	SAUSA300_0510	32.353	34	23	0	173	206	93	126	5.0	25.4
SA1843|MUT-0003|	SAUSA300_1698	32.609	46	28	1	193	235	23	68	6.8	24.3
SA1843|MUT-0003|	SAUSA300_2374	29.231	65	45	1	12	76	109	172	9.0	24.6
SA0617|MUT-0004|	SAUSA300_0648	99.523	629	3	0	5	633	1	629	0.0	1256
SA0617|MUT-0004|	SAUSA300_2634	39.590	634	370	6	5	633	1	626	1.37e-149	443
SA0617|MUT-0004|	SAUSA300_2556	22.026	622	405	19	63	626	60	659	1.43e-21	95.5
SA0617|MUT-0004|	SAUSA300_1672	25.620	121	67	3	122	235	121	225	0.17	30.8
SA0617|MUT-0004|	SAUSA300_2287	23.111	225	143	7	318	532	50	254	2.2	27.3
SA0617|MUT-0004|	SAUSA300_1064	24.590	61	43	1	290	347	26	86	3.3	26.6
SA0617|MUT-0004|	SAUSA300_1591	16.667	102	82	2	457	558	74	172	8.0	25.0
SA0617|MUT-0004|	SAUSA300_2321	26.515	132	66	7	23	154	241	341	9.9	25.0
SAP011|MUT-0005|	SAUSA300_0033	30.100	299	191	7	5	295	10	298	1.03e-28	113
SAP011|MUT-0005|	SAUSA300_0032	28.261	92	55	2	386	466	400	491	0.009	35.0
SAP011|MUT-0005|	SAUSA300_1847	29.688	64	39	2	25	82	1	64	1.6	27.7
SAP011|MUT-0005|	SAUSA300_0237	29.167	96	57	6	14	104	216	305	5.8	25.8
SAP011|MUT-0005|	SAUSA300_1422	42.857	28	16	0	277	304	32	59	6.8	23.5
SAP011|MUT-0005|	SAUSA300_1526	31.818	44	25	1	141	179	16	59	9.7	25.0
SA0500|MUT-0006|	SAUSA300_0527	100.000	1136	0	0	48	1183	1	1136	0.0	2328
SA0500|MUT-0006|	SAUSA300_0371	36.111	36	21	2	551	585	28	62	2.9	26.6
SA0500|MUT-0006|	SAUSA300_0206	23.469	98	75	0	399	496	53	150	3.2	27.3
SA0500|MUT-0006|	SAUSA300_2100	25.000	48	36	0	778	825	299	346	4.2	27.3
SA0500|MUT-0006|	SAUSA300_0528	29.600	125	73	6	791	904	966	1086	7.3	26.6
SA0500|MUT-0006|	SAUSA300_1809	36.364	33	21	0	870	902	279	311	7.7	26.6
SA0500|MUT-0006|	SAUSA300_2383	23.944	71	52	1	930	1000	247	315	8.4	26.2
SA0501|MUT-0010|	SAUSA300_0528	99.917	1198	1	0	10	1207	1	1198	0.0	2459
SA0501|MUT-0010|	SAUSA300_0039	29.630	54	34	1	603	652	462	515	0.47	30.4
SA0501|MUT-0010|	SAUSA300_1639	28.571	105	61	4	367	462	103	202	1.1	28.9
SA0501|MUT-0010|	SAUSA300_1640	29.167	72	45	2	815	886	140	205	4.1	27.3
SA0501|MUT-0010|	SAUSA300_0260	34.211	38	20	1	700	737	162	194	4.1	27.3
SA0501|MUT-0010|	SAUSA300_2208	37.500	56	30	2	809	861	407	460	4.1	27.3
SA0501|MUT-0010|	SAUSA300_0807	27.451	51	36	1	145	195	22	71	5.1	26.2
SA0501|MUT-0010|	SAUSA300_1886	25.610	82	46	2	468	534	136	217	6.0	26.9
SA0501|MUT-0010|	SAUSA300_2637	29.545	44	31	0	616	659	33	76	6.0	26.2
SA0501|MUT-0010|	SAUSA300_0527	29.600	125	73	6	975	1095	744	857	6.7	26.9
SA0019|MUT-0011|	SAUSA300_0022	99.297	427	3	0	27	453	1	427	0.0	874
SA0019|MUT-0011|	SAUSA300_1078	30.556	72	45	2	18	87	174	242	2.9	26.2
SA0019|MUT-0011|	SAUSA300_1372	26.562	64	44	2	189	252	246	306	3.0	26.2
SA0019|MUT-0011|	SAUSA300_0086	36.170	47	28	1	370	414	391	437	4.2	25.8
SA0019|MUT-0011|	SAUSA300_0086	23.404	47	36	0	204	250	310	356	8.5	24.6
SA0019|MUT-0011|	SAUSA300_0634	33.333	36	24	0	116	151	266	301	5.2	25.4
SA0019|MUT-0011|	SAUSA300_0515	36.842	38	21	1	211	245	1	38	5.7	25.4
SA0019|MUT-0011|	SAUSA300_1792	23.529	68	52	0	141	208	848	915	6.0	25.4
SA0019|MUT-0011|	SAUSA300_0826	32.609	46	26	1	70	115	160	200	8.1	24.6
SA1129|MUT-0012|	SAUSA300_1179	99.807	519	1	0	1	519	1	519	0.0	1021
SA1129|MUT-0012|	SAUSA300_1240	34.615	26	17	0	4	29	20	45	0.30	28.1
SA1129|MUT-0012|	SAUSA300_1868	40.000	35	17	1	449	483	58	88	0.67	27.3
SA1129|MUT-0012|	SAUSA300_2089	37.838	37	23	0	210	246	112	148	1.1	27.7
SA1129|MUT-0012|	SAUSA300_0346	29.565	115	63	5	53	161	59	161	1.3	27.7
SA1129|MUT-0012|	SAUSA300_2645	36.364	44	27	1	85	127	398	441	1.4	27.7
SA1129|MUT-0012|	SAUSA300_1105	35.484	62	38	2	107	168	253	312	2.0	27.3
SA1129|MUT-0012|	SAUSA300_1257	43.590	39	18	1	385	423	57	91	2.0	26.9
SA1129|MUT-0012|	SAUSA300_1159	35.185	54	32	2	192	245	288	338	3.4	26.2
SA1129|MUT-0012|	SAUSA300_1930	27.907	43	31	0	11	53	554	596	4.3	26.2
SA1129|MUT-0012|	SAUSA300_1552	40.541	37	22	0	338	374	21	57	4.3	25.4
SA1129|MUT-0012|	SAUSA300_1788	62.500	16	6	0	9	24	6	21	4.6	25.0
