"sample_id","well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2710","exp191116_1_B08",300,0.0247568304859972,27.9982197620976,118.240611111667,930,6.32153322048658,0,0.0113937476905416,6.32153322048658,930,"B",7,"B08","exp191116","1",2,"VAN-008",0.725424243690086,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-008","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-008","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2711","exp191116_1_A04",240,0.0277419742929154,24.9855029509186,124.671611111667,870,5.71477723234247,0,0.0157682327940638,5.70795865466368,930,"A",9,"A04","exp191116","1",2,"VAN-009",0.0676165660175079,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-009","22",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-009","22",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2712","exp191116_1_A02",300,0.0268613837931394,25.8045968851754,107.816311111667,750,5.42602053735712,120,0.00200923980267826,5.20421486705081,930,"A",4,"A02","exp191116","1",2,"VAN-010",0.0831384387633057,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-010","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-010","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2713","exp191116_1_B11",420,0.0190138160265278,36.454922020539,83.3731111116667,870,5.24727667911782,0,0.0169966314116473,5.04204363906826,930,"B",5,"B11","exp191116","1",2,"VAN-011",0.458225199365261,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-011","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-011","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2714","exp191116_1_B07",540,0.0211965553164763,32.7015783411571,67.2762111116667,930,5.32787487754441,45,0.0219964369427109,5.32787487754441,930,"B",7.5,"B07","exp191116","1",2.5,"VAN-011",0.570449833540081,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-011","45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-011","45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2715","exp191116_1_F07",405,0.0280887595972232,24.7553347882712,89.4046111116667,930,5.428226816193,0,0.0145394412781235,5.428226816193,930,"F",6.5,"F07","exp191116","1",2,"VAN-012",0.237252044557777,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-012","5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-012","5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2716","exp191116_1_A10",210,0.0277343472343921,24.9923740660607,127.582611111667,930,5.85969347799936,0,0.0212603943810836,5.85969347799936,930,"A",10,"A10","exp191116","1",2,"VAN-013",0.0923092628071528,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-013","5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-013","5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2717","exp191116_1_A12",240,0.0257212631917033,26.9484113355493,123.003611111667,720,5.69367493622446,0,0.0418389070903399,5.57962469705425,930,"A",11,"A12","exp191116","1",2,"VAN-014",0.238765575408181,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-014","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-014","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2718","exp191116_1_C08",930,0.0104678584543478,66.2167131493884,36.6096111116667,930,2.78603847962992,0,0.0262966535175453,2.78603847962992,930,"C",9,"C08","exp191116","1",2,"VAN-015",0.181023018794112,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-015","239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-015","239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2719","exp191116_1_A09",240,0.0291060255086188,23.8145596469258,126.207611111667,930,6.04406052068372,0,0.0147674227689456,6.04406052068372,930,"A",9,"A09","exp191116","1",2,"VAN-016",0.834575540819004,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-016","5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-016","5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2720","exp191116_1_E03",210,0.022515842588863,30.7848652709447,121.250611111667,840,5.5864799240141,0,0.00599165490976467,5.5864799240141,930,"E",3,"E03","exp191116","1",2,"VAN-017",0.358271312462125,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-017","22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-017","22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2721","exp191116_1_C06",270,0.0261966035571783,26.459429332014,117.526744444667,750,5.63708311656546,0,0.0129016068612522,5.51720395834073,930,"C",6,"C06","exp191116","1",2,"VAN-018",0.589364346846103,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-018","8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-018","8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2722","exp191116_1_A01",270,0.029461281532292,23.5273940748368,136.240611111667,930,6.72692599356402,0,0.0363116710325514,6.72692599356402,930,"A",3,"A01","exp191116","1",2,"VAN-019",0.687469514475612,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-019","188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-019","188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"188",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2723","exp191116_1_B10",330,0.0234036645347224,29.6170362351405,110.172611111667,750,5.87771295388277,0,0.0177177334344222,5.73323667644451,930,"B",10,"B10","exp191116","1",2,"VAN-020",0.0297377425729213,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-020","239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-020","239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2724","exp191116_1_B01",270,0.0245323449646594,28.25442009553,113.743844444667,930,5.62088356536201,0,0.013476959490852,5.62088356536201,930,"B",3,"B01","exp191116","1",2,"VAN-021",0.0642806347199528,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-021","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-021","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2725","exp191116_1_B05",240,0.0273298122391267,25.3623103772225,122.960611111667,840,5.85307450998223,0,0.0100063531104429,5.81040869119145,930,"B",2,"B05","exp191116","1",2,"VAN-022",0.227870577302117,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-022","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-022","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2726","exp191116_1_F05",360,0.0266956153917267,26.0319374800587,113.417611111667,930,6.84086313658949,0,0.00556640537083872,6.84086313658949,930,"F",6,"F05","exp191116","1",2.5,"VAN-023",0.255251351487431,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-023","239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-023","239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"239",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2727","exp191116_1_A08",300,0.0263801090371249,26.2992721679756,121.767138889167,930,6.6688428746679,0,0.0137913023593926,6.6688428746679,930,"A",7,"A08","exp191116","1",2,"VAN-023",0.268910373866175,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-023","239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein","VAN-023","239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein","239",0,NA,0,TRUE,0,16,FALSE,0.5,NA,0,"paired-colonising","pglF / AAA-like domain protein / ebh_1 / norB_6 / tatC2 / yhfS / hypothetical protein"
"BPH2728","exp190831_2_A03",285,0.028006263502793,24.7497202108091,129.794,930,6.64327976876032,30,0.000553740893196595,6.64273815096454,930,"A",7.5,"A03","exp190831","2",2,"VAN-024",0.173882970747598,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-024","45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-024","45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2729","exp190831_2_C10",510,0.021258990624801,32.6305829488556,81.343,930,6.32339627159677,45,-0.0019302222697282,6.32339627159677,930,"C",9,"C10","exp190831","2",2.5,"VAN-024",1.02133949415287,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-024","45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD","VAN-024","45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD","45",1,NA,0,TRUE,0,5,TRUE,1.25,"Relapse (after treatment)",38,"paired-invasive","ptsG_3 / rpoB / rplV / rplD"
"BPH2730","exp190831_2_B02",375,0.0269709214055582,25.699928364746,102.876333333333,930,6.44652733709573,15,-0.00023101053520836,6.44652733709573,930,"B",3,"B02","exp190831","2",2,"VAN-024",0.0928497420999462,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-024","45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA,"VAN-024","45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA,"45",1,NA,0,TRUE,0,0,FALSE,0.75,NA,-13,"paired-colonising",NA
"BPH2731","exp190831_2_E08",270,0.0275355530481655,25.1728076551607,126.799333333333,870,6.03455358047976,30,0.023967435166385,6.02149915566133,930,"E",8,"E08","exp190831","2",2,"VAN-025",0.0471487009365049,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-025","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-025","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2732","exp190831_2_A07",270,0.0289239262443746,23.9644913592861,122.938333333333,930,5.99326897848164,0,0.00165743941396727,5.99326897848164,930,"A",7,"A07","exp190831","2",2,"VAN-026",0.332030621077836,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-026","45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-026","45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2733","exp190831_2_D09",330,0.0305368448282294,22.6987164017408,114.823333333333,930,6.14316727534218,0,-0.00452652394376251,6.14316727534218,930,"D",9,"D09","exp190831","2",2,"VAN-026",0.0193476958145751,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-026","45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA,"VAN-026","45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA,"45",0,NA,0,TRUE,0,0,FALSE,0,"Relapse (on treatment)",4,"paired-invasive",NA
"BPH2734","exp190831_2_A11",300,0.0255979999148155,27.0781773133286,101.552333333333,690,5.09169653913454,60,0.00208843745740045,4.7542711000005,930,"A",6,"A11","exp190831","2",2,"VAN-026",0.147102005424807,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-026","34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA,"VAN-026","34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA,"34",0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,"paired-colonising",NA
"BPH2735","exp190831_2_D04",240,0.0356765479037214,19.5136544610705,118.100333333333,930,5.62161811825304,30,-0.00750201314439508,5.62161811825304,930,"D",4,"D04","exp190831","2",2.5,"VAN-027",0.0896428730672864,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-027","22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-027","22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2736","exp190831_2_C07",360,0.02943625296547,23.5473985555511,105.076333333333,930,6.34799334872384,0,-0.0065888140026731,6.34799334872384,930,"C",7,"C07","exp190831","2",2,"VAN-028",0.019399312702602,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-028","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-028","45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2737","exp190831_2_C02",330,0.0295389410228228,23.46553926982,119.652333333333,870,6.17627369535449,0,0.0107091265852169,6.14116359904718,930,"C",2,"C02","exp190831","2",2,"VAN-029",0.150877433700338,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-029","-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-029","-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2738","exp190831_2_B08",510,0.0272057551800641,25.477961408249,80.4623333333334,930,5.96124414015744,0,-0.00501713700254995,5.96124414015744,930,"B",7,"B08","exp190831","2",2,"VAN-029",0.0274651294068193,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-029","-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp","VAN-029","-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp","-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp"
"BPH2739","exp190831_2_A04",390,0.0272720489832861,25.4491749800794,108.500333333333,930,6.89040343375468,0,-0.00938888196538354,6.89040343375468,930,"A",6.5,"A04","exp190831","2",1.5,"VAN-030",0.1873648521846,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-030","-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-030","-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2740","exp190831_2_A02",360,0.0281334622144263,24.63782009043,110.639333333333,930,6.51292916902677,0,-0.011043961187994,6.51292916902677,930,"A",4,"A02","exp190831","2",2,"VAN-030",0.239813121687145,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-030","12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA,"VAN-030","12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA,"12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA
"BPH2741","exp190831_2_B11",360,0.0270348890214414,25.638987458399,101.195333333333,900,5.28687248510154,0,-0.00029715101509454,5.13999294281593,930,"B",5,"B11","exp190831","2",2,"VAN-031",0.165734727803197,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-031","109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-031","109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2742","exp190831_2_A06",330,0.0271156862163923,25.5625904145814,105.610333333333,930,5.86112457436175,0,-0.0125464697581987,5.86112457436175,930,"A",7,"A06","exp190831","2",2,"VAN-032",0.109051975375659,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-032","22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-032","22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2743","exp190831_2_F03",270,0.0281651780124969,24.6100763237639,122.579333333333,750,5.82470542083474,30,0.0266425353096829,5.75788617730934,930,"F",6,"F03","exp190831","2",2,"VAN-033",0.703048599552928,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-033","5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-033","5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2744","exp190831_2_A10",270,0.0267176951459433,25.9433748597581,119.006333333333,750,5.69939205835007,60,0.013565507476137,5.38582747346472,930,"A",10,"A10","exp190831","2",2,"VAN-034",0.228527897640529,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-034","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-034","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2745","exp190831_2_A12",330,0.0278351751563632,24.9018436803869,106.809333333333,690,5.59167014143767,60,0.00420033348522896,5.41634293359224,930,"A",11,"A12","exp190831","2",2,"VAN-035",0.299325909336295,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-035","72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-035","72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2746","exp190831_2_C08",270,0.0281114146458859,24.6571433451993,123.078333333333,840,6.20808254855907,0,0.018223864377302,6.15823809038903,930,"C",9,"C08","exp190831","2",2,"VAN-037",0.140976357355882,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-037","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-037","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
