			Database Name	ODA											
			Database Link	http://localhost/ODA/OdaService.asmx											
			Evaluation GUID	7b069eed-6e5c-4de4-bd81-f076b7463017											
			Plate Name	210921_THP1_24h_n2_A594											
			Measurement	Measurement1											
			Evaluation	Evaluation2											
			Population	Population - Cells											

			[Data]												
Cell Type	Strain	Replicate	Row	Column	Plane	Field	Object No	X	Y	Bounding Box	Cells - Total Spot Area	Cells - Relative Spot Intensity	Cells - Number of Spots	Cells - Number of Spots per Area of Cell	Cells - Spots per Cell Mean
THP1 (Cas9)	non-infected	1	2	2	1	1	1	446	63	[431,49,462,78]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	2	521	214	[507,201,533,232]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	3	1338	241	[1317,211,1358,264]	35	0.286478	1	35	903.171
THP1 (Cas9)	non-infected	1	2	2	1	1	4	406	232	[389,217,425,253]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	5	626	286	[615,252,637,327]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	6	885	524	[866,511,897,539]	74	0.313453	1	74	1583.72
THP1 (Cas9)	non-infected	1	2	2	1	1	7	805	610	[782,584,828,633]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	8	286	616	[253,598,316,633]	38	0.303186	1	38	1535.03
THP1 (Cas9)	non-infected	1	2	2	1	1	9	576	655	[548,625,591,673]	56	0.315684	1	56	1155.7
THP1 (Cas9)	non-infected	1	2	2	1	1	10	382	684	[370,672,395,710]	47	0.328923	1	47	2130.17
THP1 (Cas9)	non-infected	1	2	2	1	1	11	528	737	[507,721,551,795]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	12	1152	779	[1136,764,1171,796]	92	0.352501	2	92	1053.34
THP1 (Cas9)	non-infected	1	2	2	1	1	13	1202	856	[1190,846,1214,871]	55	0.362158	1	55	1438.85
THP1 (Cas9)	non-infected	1	2	2	1	2	1	526	83	[512,67,540,100]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	2	945	185	[928,168,969,201]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	3	1039	324	[985,294,1092,344]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	4	484	354	[465,342,513,368]	56	0.285374	1	56	637.196
THP1 (Cas9)	non-infected	1	2	2	1	2	5	46	357	[1,340,59,369]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	6	340	360	[319,349,353,371]	37	0.412267	1	37	953.135
THP1 (Cas9)	non-infected	1	2	2	1	2	7	661	412	[650,402,675,426]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	8	348	575	[337,565,362,585]	42	0.327493	1	42	564.429
THP1 (Cas9)	non-infected	1	2	2	1	2	9	28	777	[10,763,50,797]	27	0.356337	1	27	1040.44
THP1 (Cas9)	non-infected	1	2	2	1	2	10	527	645	[507,623,546,665]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	1	736	15	[714,1,755,63]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	2	742	97	[723,78,764,118]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	3	773	229	[755,212,794,246]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	4	256	321	[242,308,268,366]	66	0.339404	1	66	894.258
THP1 (Cas9)	non-infected	1	2	2	1	3	5	944	359	[927,341,960,381]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	6	784	635	[773,615,796,685]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	7	916	648	[901,633,931,669]	0	NaN	0	0	NaN
