User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 131,,,
Test Name: Leila-Growth,,,
Date: 6/12/2019,,,
Time: 11:22:57 AM,,,
ID1: Plate 6 Vananz  n2 diluted 1 in 10 in PBS,,,
ID2: 191206,,,
ID3: infection HeLa 40000 real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.39300000000000002
A,2,Sample X2,0.26300000000000001
A,3,Sample X3,0.34699999999999998
A,4,Sample X4,0.34399999999999997
A,5,Sample X5,0.000933
A,6,Sample X6,0.39100000000000001
A,7,Sample X7,0.35199999999999998
A,8,Sample X8,0.35199999999999998
A,9,Sample X9,0.30499999999999999
A,10,Sample X10,0.33200000000000002
A,11,Sample X11,0.252
A,12,Sample X12,0.32300000000000001
B,1,Sample X13,0.318
B,2,Sample X14,0.308
B,3,Sample X15,0.246
B,4,Sample X16,0.24199999999999999
B,5,Sample X17,0.253
B,6,Sample X18,0.27900000000000003
B,7,Sample X19,0.28399999999999997
B,8,Sample X20,0.23599999999999999
B,9,Sample X21,0.33
B,10,Sample X22,0.26700000000000002
B,11,Sample X23,0.27400000000000002
B,12,Sample X24,0.27400000000000002
C,1,Sample X25,0.23599999999999999
C,2,Sample X26,0.29899999999999999
C,3,Sample X27,0.26300000000000001
C,4,Sample X28,0.26200000000000001
C,5,Sample X29,0.26
C,6,Sample X30,0.25800000000000001
C,7,Sample X31,0.14000000000000001
C,8,Sample X32,0.219
C,9,Sample X33,0.255
C,10,Sample X34,0.26700000000000002
C,11,Sample X35,0.20499999999999999
C,12,Sample X36,0.23799999999999999
D,1,Sample X37,0.34
D,2,Sample X38,0.27100000000000002
D,3,Sample X39,0.17599999999999999
D,4,Sample X40,0.32300000000000001
D,5,Sample X41,0.28299999999999997
D,6,Sample X42,0.23599999999999999
D,7,Sample X43,0.16600000000000001
D,8,Sample X44,0.29299999999999998
D,9,Sample X45,0.19800000000000001
D,10,Sample X46,0.30399999999999999
D,11,Sample X47,0.224
D,12,Sample X48,0.34499999999999997
E,1,Sample X49,0.221
E,2,Sample X50,0.32500000000000001
E,3,Sample X51,0.217
E,4,Sample X52,0.31
E,5,Sample X53,0.27200000000000002
E,6,Sample X54,0.375
E,7,Sample X55,-0.001
E,8,Sample X56,0.29499999999999998
E,9,Sample X57,0.254
E,10,Sample X58,0.21
E,11,Sample X59,0.26700000000000002
E,12,Sample X60,0.23699999999999999
F,1,Sample X61,0.33100000000000002
F,2,Sample X62,0.28899999999999998
F,3,Sample X63,0.29299999999999998
F,4,Sample X64,0.29099999999999998
F,5,Sample X65,0.26600000000000001
F,6,Sample X66,0.28999999999999998
F,7,Sample X67,0.27700000000000002
F,8,Sample X68,0.255
F,9,Sample X69,0.23699999999999999
F,10,Sample X70,0.26300000000000001
F,11,Sample X71,0.159
F,12,Sample X72,0.35199999999999998
G,1,Sample X73,0.32600000000000001
G,2,Sample X74,0.32400000000000001
G,3,Sample X75,0.36299999999999999
G,4,Sample X76,0.31
G,5,Sample X77,0.309
G,6,Sample X78,0.311
G,7,Sample X79,0.30099999999999999
G,8,Sample X80,0.28199999999999997
G,9,Sample X81,0.26700000000000002
G,10,Sample X82,0.19
G,11,Sample X83,0.30099999999999999
G,12,Sample X84,0.34
H,1,Sample X85,0.004
H,2,Sample X86,0.38400000000000001
H,3,Sample X87,0.46400000000000002
H,4,Sample X88,0.44
H,5,Sample X89,0.38100000000000001
H,6,Sample X90,0.31
H,7,Sample X91,0.39
H,8,Sample X92,0.26900000000000002
H,9,Sample X93,0.40300000000000002
