well,sample_id,replicate,plate_number
A01,BPH3423,2,GP8
A02,BPH2823,3,GP8
A03,BPH2700,1,GP8
A04,BPH2799,1,GP8
A05,JE2,3,GP8
A06,BPH2866,1,GP8
A07,BPH2728,2,GP8
A08,BPH3751,1,GP8
A09,BPH3208,2,GP8
A10,BPH2876,3,GP8
A11,JE2,1,GP8
A12,BPH2737,3,GP8
B01,BPH2896,3,GP8
B02,BPH3660,2,GP8
B03,BPH2718,1,GP8
B04,BPH3660,1,GP8
B05,BPH3750,1,GP8
B06,BPH2823,1,GP8
B07,BPH3750,2,GP8
B08,TOX-4,3,GP8
B09,BPH2866,2,GP8
B10,BPH2798,3,GP8
B11,BPH2799,2,GP8
B12,BPH3434,1,GP8
C01,BPH2858,3,GP8
C02,BPH2823,2,GP8
C03,BPH2737,2,GP8
C04,BPH2764,1,GP8
C05,BPH3750,3,GP8
C06,BPH3746,1,GP8
C07,BPH2858,1,GP8
C08,BPH3423,1,GP8
C09,BPH2763,1,GP8
C10,BPH2946,1,GP8
C11,BPH2946,2,GP8
C12,BPH2710,3,GP8
D01,BPH3208,1,GP8
D02,Non infected,2,GP8
D03,TOX-4,2,GP8
D04,BPH3434,3,GP8
D05,BPH3306,1,GP8
D06,BPH2738,3,GP8
D07,BPH2798,2,GP8
D08,Non infected,3,GP8
D09,BPH2700,2,GP8
D10,BPH2866,3,GP8
D11,BPH2729,3,GP8
D12,BPH2738,1,GP8
E01,BPH2896,2,GP8
E02,BPH3434,2,GP8
E03,Non infected,1,GP8
E04,BPH3382,3,GP8
E05,BPH3306,2,GP8
E06,BPH2738,2,GP8
E07,BPH3382,2,GP8
E08,BPH3208,3,GP8
E09,Non infected,1,GP8
E10,BPH2720,2,GP8
E11,BPH2729,2,GP8
E12,BPH2799,3,GP8
F01,BPH2728,1,GP8
F02,BPH3382,1,GP8
F03,BPH3751,2,GP8
F04,TOX-4,1,GP8
F05,BPH2867,3,GP8
F06,Non infected,3,GP8
F07,Non infected,2,GP8
F08,BPH2764,2,GP8
F09,BPH3746,3,GP8
F10,BPH2876,1,GP8
F11,BPH2720,3,GP8
F12,BPH2729,1,GP8
G01,BPH2867,1,GP8
G02,BPH3423,3,GP8
G03,JE2,2,GP8
G04,BPH2946,3,GP8
G05,BPH2867,2,GP8
G06,BPH2718,3,GP8
G07,BPH2764,3,GP8
G08,BPH3746,2,GP8
G09,BPH2858,2,GP8
G10,BPH3751,3,GP8
G11,BPH2720,1,GP8
G12,BPH2876,2,GP8
H01,BPH2763,2,GP8
H02,BPH2700,3,GP8
H03,BPH2896,1,GP8
H04,BPH3306,3,GP8
H05,BPH2798,1,GP8
H06,BPH2718,2,GP8
H07,BPH2728,3,GP8
H08,BPH2763,3,GP8
H09,BPH2737,1,GP8
H10,BPH2710,2,GP8
H11,BPH3660,3,GP8
H12,BPH2710,1,GP8
