well,sample_id,replicate,plate_number
A01,BPH3682,2,GP10
A02,BPH3368,3,GP10
A03,BPH2869,1,GP10
A04,BPH3366,1,GP10
A05,Non infected,3,GP10
A06,BPH3499,1,GP10
A07,BPH2926,2,GP10
A08,JE2,1,GP10
A09,BPH3652,2,GP10
A10,BPH3545,3,GP10
A11,Non infected,1,GP10
A12,BPH2964,3,GP10
B01,BPH3568,3,GP10
B02,BPH3694,2,GP10
B03,BPH2904,1,GP10
B04,BPH3694,1,GP10
B05,BPH3757,1,GP10
B06,BPH3368,1,GP10
B07,BPH3757,2,GP10
B08,Non infected,3,GP10
B09,BPH3499,2,GP10
B10,BPH3362,3,GP10
B11,BPH3366,2,GP10
B12,BPH3684,1,GP10
C01,BPH3403,3,GP10
C02,BPH3368,2,GP10
C03,BPH2964,2,GP10
C04,BPH3348,1,GP10
C05,BPH3757,3,GP10
C06,BPH3739,1,GP10
C07,BPH3403,1,GP10
C08,BPH3682,1,GP10
C09,BPH3282,1,GP10
C10,BPH3590,1,GP10
C11,BPH3590,2,GP10
C12,BPH2902,3,GP10
D01,BPH3652,1,GP10
D02,Non infected,2,GP10
D03,Non infected,2,GP10
D04,BPH3684,3,GP10
D05,BPH3662,1,GP10
D06,BPH3274,3,GP10
D07,BPH3362,2,GP10
D08,TOX-4,3,GP10
D09,BPH2869,2,GP10
D10,BPH3499,3,GP10
D11,BPH2963,3,GP10
D12,BPH3274,1,GP10
E01,BPH3568,2,GP10
E02,BPH3684,2,GP10
E03,Non infected,1,GP10
E04,BPH3672,3,GP10
E05,BPH3662,2,GP10
E06,BPH3274,2,GP10
E07,BPH3672,2,GP10
E08,BPH3652,3,GP10
E09,TOX-4,1,GP10
E10,BPH2925,2,GP10
E11,BPH2963,2,GP10
E12,BPH3366,3,GP10
F01,BPH2926,1,GP10
F02,BPH3672,1,GP10
F03,JE2,2,GP10
F04,Non infected,1,GP10
F05,BPH3523,3,GP10
F06,Non infected,3,GP10
F07,TOX-4,2,GP10
F08,BPH3348,2,GP10
F09,BPH3739,3,GP10
F10,BPH3545,1,GP10
F11,BPH2925,3,GP10
F12,BPH2963,1,GP10
G01,BPH3523,1,GP10
G02,BPH3682,3,GP10
G03,Non infected,2,GP10
G04,BPH3590,3,GP10
G05,BPH3523,2,GP10
G06,BPH2904,3,GP10
G07,BPH3348,3,GP10
G08,BPH3739,2,GP10
G09,BPH3403,2,GP10
G10,JE2,3,GP10
G11,BPH2925,1,GP10
G12,BPH3545,2,GP10
H01,BPH3282,2,GP10
H02,BPH2869,3,GP10
H03,BPH3568,1,GP10
H04,BPH3662,3,GP10
H05,BPH3362,1,GP10
H06,BPH2904,2,GP10
H07,BPH2926,3,GP10
H08,BPH3282,3,GP10
H09,BPH2964,1,GP10
H10,BPH2902,2,GP10
H11,BPH3694,3,GP10
H12,BPH2902,1,GP10
